what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380353274595
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380353389885
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380353411539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380353467797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380353472801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380353473808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380353475603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380353476339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380353485245
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380353490033
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380353500633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1380353502717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380353517325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380353517794
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380353521736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380353526758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380353545868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380353546573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380353568432
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380353573367
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380353577704
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380353592687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380353593301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380353917245
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380353919909
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380353921872
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380353921931
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380353921931
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380353924170
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380353925341
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1380353934698
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380353934988
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380353935097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380353948080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380354006965
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380354009583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380354014210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380354054208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380354057145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380354086148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380354087961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380354089896
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380354104304
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380354104378
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380354118877
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380354122738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380354131190
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380354137627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380354140905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380354151680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380354155013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380354212236
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380354217515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380354240472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380354270600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380354323077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380355312874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380355331670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380355532655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380355533672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380355561275
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380355588239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380355590221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380355661353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380355665308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380355692547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380355721033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380355797867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380355804260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380355823864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380356011593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380356012570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380356012942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380363139089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380363250197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380372346360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380372348328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380372394028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380372394598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380372706508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380372728057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380372741200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380372746152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380372804246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380372805135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373004602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373005125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373005833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373006609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373007695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373008645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373009332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373013664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373039708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373074145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373270976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373271774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373273033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373275513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373389793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373389881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373390982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373391946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373392066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373397676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373524947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373526205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373677781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373680950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373685960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380373698736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380450432803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380450438145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380450440346
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380450496456
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380450580553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380450583297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380450584711
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380450585938
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380450592963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380450604811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380450701405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380450706600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380450707616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380450708098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380450827393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380450829036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380450831659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380450831672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380451105098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380451105970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380451223824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380451230946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380451434792
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380451437126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380451450314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380457995764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380457998204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380458205087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380458217047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380458877503
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380458877719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380458878567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380459300874
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380459412116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380459428595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380459575128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380459827801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380460619258
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380460622874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380460707971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380460922856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380460962524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380460963154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380460963775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380460965784
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380460967082
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380460976020
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380460982932
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1380461032737
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380461033304
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380461033403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1380461225336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380461228799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380461228982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1380461235444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380461237775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380461238785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380461240360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380461282613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380461290018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380461329983
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380461334853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380461336531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380461337355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380461338771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380461345939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380461352126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380461353579
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1380461353606
